r_bookID|r_title|r_avgbookrating
213|New Hope for the Dead (Hoke Mosely #2)|3.90
214|Sideswipe: A Hoke Moseley Novel|4.05
216|Miami Blues (Hoke Moseley #1)|3.94
230|The Burnt Orange Heresy (Vintage Crime/Black Lizard)|3.89
231|I am Charlotte Simmons|3.42
237|Poetry for Young People: Edward Lear|3.91
244|The Puffin Book of Nonsense Verse|4.02
245|Henry Miller on Writing|4.22
247|Quiet Days in Clichy|3.69
249|Tropic of Cancer|3.68
250|Tropic of Capricorn|3.78
251|Nexus (The Rosy Crucifixion  #3)|4.10
252|Sexus (The Rosy Crucifixion  #1)|3.98
253|The Air-Conditioned Nightmare|3.83
264|The Portrait of a Lady|3.78
269|The Portrait of a Lady|3.78
277|Writing|3.75
278|The War|3.85
280|The Ravishing of Lol Stein|3.66
285|Love Letters|3.68
288|Kahlil Gibran: His Life and World|4.21
289|The Beloved: Reflections on the Path of the Heart|4.19
290|Jesus the Son of Man|3.98
291|The Broken Wings|3.92
292|Sand and Foam|4.08
295|Treasure Island|3.83
296|Treasure Island|3.83
297|Treasure Island|3.83
298|Treasure Island|3.83
299|Treasure Island|3.83
302|Treasure Island (Great Illustrated Classics)|4.05
313|100 Years of Lynchings|4.61
324|Cien años de soledad|4.07
330|On Beyond Zebra!|4.04
332|The Wedding Clause|3.60
333|The Zebra Wall|3.44
337|El perfume: Historia de un asesino|4.02
348|The Door Into Summer|4.01
350|Stranger in a Strange Land|3.92
354|To Sail Beyond the Sunset|3.87
355|Job: A Comedy of Justice|3.78
356|Time for the Stars (Heinlein's Juveniles  #10)|3.97
357|The Long Dark Tea-Time of the Soul (Dirk Gently  #2)|4.06
359|The Salmon of Doubt (Dirk Gently  #3)|3.93
362|Wish You Were Here: The Official Biography of Douglas Adams|4.14
367|Douglas Adams's Starship Titanic|3.60
377|Salmon of Doubt: Hitchhiking the Galaxy One Last Time|3.93
382|The Phantom Tollbooth: A Children's Play in Two Acts|4.13
385|On Bullshit|3.57
386|Another Bullshit Night in Suck City|3.78
394|Lincoln at Gettysburg: The Words That Remade America|4.14
397|The Gettysburg Address|4.53
399|Underworld|3.92
400|Libra|3.99
403|Americana|3.43
404|Running Dog|3.43
406|Cosmopolis|3.22
407|Great Jones Street|3.48
408|The Names|3.64
409|Against the Day|4.13
410|V.|3.96
411|The Crying of Lot 49|3.69
412|Gravity's Rainbow|4.01
413|Mason & Dixon|4.07
414|Vineland|3.69
415|Gravity's Rainbow|4.01
416|Slow Learner: Early Stories|3.50
418|Been Down So Long It Looks Like Up To Me|3.80
420|The Year of Magical Thinking|3.89
421|The White Album|4.17
422|A Book of Common Prayer|3.80
423|Where I Was From|3.86
424|Slouching Towards Bethlehem|4.21
425|Democracy|3.81
426|We Tell Ourselves Stories in Order to Live: Collected Nonfiction|4.50
428|Play It As It Lays|3.87
431|The New York Trilogy|3.89
432|City of Glass (The New York Trilogy  #1)|3.79
434|Ghosts (The New York Trilogy  #2)|3.64
435|The Locked Room (The New York Trilogy  #3)|3.89
444|Pyramids of Montauk: Explorations in Consciousness|3.89
446|The Brooklyn Follies|3.84
447|Moon Palace|3.94
453|The Music of Chance|3.90
454|Travels in the Scriptorium|3.23
456|Leviathan|3.96
463|The Red Notebook: True Stories|3.77
466|Timbuktu / Leviathan / Moon Palace|4.38
475|Collapse: How Societies Choose to Fail or Succeed|3.93
476|The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel|3.40
477|Collapse of Complex Societies|4.15
478|Bowling Alone: The Collapse and Revival of American Community|3.80
481|The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom|3.91
484|Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America|4.39
493|My Inventions|4.01
494|Wizard: The Life and Times of Nikola Tesla: Biography of a Genius|3.78
497|Nikola Tesla: A Spark of Genius|3.93
498|Tesla Papers|4.13
511|Boys of Summer|3.77
515|Programming Ruby: The Pragmatic Programmers' Guide|4.03
523|Golding's Lord of the Flies (Cliffs Notes)|3.95
524|Lord of the Flies|3.68
531|A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War|4.11
534|We Were Not Like Other People|4.14
537|The Lovely Bones|3.81
538|The Lovely Bones|3.81
539|Lovely in Her Bones (Elizabeth MacPherson  #2)|3.80
565|The Zen of CSS Design: Visual Enlightenment for the Web|3.98
570|HTML  XHTML  and CSS (Visual Quickstart Guide)|3.80
576|1000 Record Covers|3.85
597|Killing Yourself to Live: 85% of a True Story|3.81
599|Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto|3.73
619|Vice (V  #8)|3.51
629|Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1)|3.77
639|Once Upon a Cool Motorcycle Dude|4.08
642|Guidebook to Zen and the Art of Motorcycle Maintenance|3.72
643|Motorcycle Basics Techbook|3.85
650|LOGO Lounge: 2 000 International Identities by Leading Designers|3.93
655|The Death of Ivan Ilych And Other Stories|4.11
656|War and Peace|4.11
658|The Kingdom of God Is Within You|4.13
662|Atlas Shrugged|3.69
663|For the New Intellectual: The Philosophy of Ayn Rand|3.68
664|The Fountainhead|3.87
665|The Virtue of Selfishness: A New Concept of Egoism|3.51
667|Anthem|3.63
668|We the Living|3.91
669|Capitalism: The Unknown Ideal|3.88
670|Letters of Ayn Rand|3.96
672|Sailing for Dummies|3.95
675|Sailing from Byzantium: How a Lost Empire Shaped the World|3.88
676|Sailing Alone Around the Room: New and Selected Poems|4.23
678|The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories|3.62
681|"Natural Cures ""They"" Don't Want You to Know about"|3.09
685|The Natural|3.63
698|Digging to America|3.55
700|Rereading America: Cultural Contexts for Critical Thinking and Writing|3.77
702|Modern Latin America|3.59
703|The Plot Against America|3.77
707|Naked Pictures of Famous People|3.59
759|Collected Stories|4.19
762|Crónica de una muerte anunciada|3.97
763|Cien años de soledad|4.07
764|Del amor y otros demonios|3.98
765|Living to Tell the Tale|3.99
766|Memoria de mis putas tristes|3.60
771|The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory|4.07
775|Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman|4.29
787|The Mini Rough Guide to London|3.75
793|Best of London (Lonely Planet Best Of)|3.83
797|Lonely Planet Londres|4.03
799|Out to Eat London 2002 (Lonely Planet Out to Eat)|0.00
815|Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager|3.88
816|Cryptonomicon|4.25
821|Le Réseau Kinakuta (Cryptonomicon  #2)|4.10
822|The Confusion (The Baroque Cycle  #2)|4.26
823|Quicksilver (The Baroque Cycle  #1)|3.93
824|The Cobweb|3.61
826|The Big U|3.25
827|The Diamond Age: Or  A Young Lady's Illustrated Primer|4.19
828|Interface|3.68
829|Odalisque (The Baroque Cycle  Vol. 1  Book 3)|4.20
830|Snow Crash|4.03
834|Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame|4.16
835|Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play|4.24
840|The Design of Everyday Things|4.17
841|Emotional Design: Why We Love (or Hate) Everyday Things|3.95
842|The Psychology of Everyday Things|4.17
848|No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson|4.27
864|The Alchemist|3.86
865|The Alchemist|3.86
866|Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9)|4.57
868|Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3)|4.56
869|Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8)|4.57
870|Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1)|4.50
871|Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4)|4.55
872|The Illustrated Alchemist: A Fable about Following Your Dream|3.86
873|Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2)|4.52
880|Pompeii|3.82
888|The Last Days of Pompeii|3.60
890|Of Mice and Men|3.87
900|The Game: Penetrating the Secret Society of Pickup Artists|3.74
902|The Westing Game|4.02
903|The Egypt Game|3.83
929|Memoirs of a Geisha|4.11
930|Memoirs of a Geisha|4.11
931|Memoirs of a Geisha|4.11
932|Memoirs of a Geisha: A Portrait of the Film|4.08
933|Memoirs of a Geisha|4.11
935|Geisha of Gion|3.93
941|Love As A Foreign Language #5|3.44
944|Jungle Love|3.41
955|The 5 Love Languages / The 5 Love Languages Journal|4.70
960|Angels & Demons (Robert Langdon  #1)|3.89
965|Ángeles y demonios (Robert Langdon  #1)|3.89
966|Angeles & Demonios|3.89
968|The Da Vinci Code (Robert Langdon  #2)|3.84
969|The Da Vinci Code|3.84
972|Da Vinci Code (Robert Langdon  #2)|3.84
975|Deception Point|3.71
977|Deception Point|3.71
980|Deception Point|3.71
987|A Killing Rain (Louis Kincaid  #6)|4.04
998|The Millionaire Next Door: The Surprising Secrets of America's Wealthy|4.03
1005|Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century|4.18
1007|Think and Grow Rich|4.18
1014|Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series)|3.58
1022|Read My Lips: Sexual Subversion and the End of Gender|3.95
1032|Trump: The Art of the Deal|3.66
1052|The Richest Man in Babylon|4.26
1053|The Richest Man in Babylon|4.26
1059|Shibumi|4.21
1067|1776|4.07
1068|1776|4.22
1073|The Crescent Obscured: The United States and the Muslim World  1776-1815|3.62
1078|The Good Earth (House of Earth  #1)|3.98
1090|Purpose Driven Life - For Commuters: What on Earth Am I Here For?|3.93
1097|Fast Food Nation: The Dark Side of the All-American Meal|3.74
1099|Fast Food Nation: What The All-American Meal is Doing to the World|3.74
1103|Snow Flower and the Secret Fan|4.07
1110|The Broker|3.78
1111|The Power Broker: Robert Moses and the Fall of New York|4.51
1117|The Power Broker: A Novel (Christian Gillette  #3)|3.75
1120|Body For Life: 12 Weeks to Mental and Physical Strength|3.74
1121|Body for Life for Women: A Woman's Plan for Physical and Mental Transformation|3.65
1123|Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!|3.95
1130|The Warren Buffett Way|4.13
1138|The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers|4.07
1164|Monkey Business: True Story of the Scopes Trial|3.15
1167|Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2)|3.99
1169|Monkey Business|3.67
1171|Liar's Poker|4.15
1177|Liar's Poker: A Harry Garnish Mystery|3.31
1188|Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen|4.08
1191|Giada's Family Dinners|3.96
1192|Everyday Italian: 125 Simple and Delicious Recipes|3.95
1193|Everyday Pasta|4.09
1196|Tyler's Ultimate: Brilliant Simple Food to Make Any Time|4.09
1197|Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook|4.06
1198|Eat This Book: Cooking with Global Fresh Flavors|3.92
1202|Freakonomics: A Rogue Economist Explores the Hidden Side of Everything|3.97
1204|Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta|3.97
1206|Freakonomics: A Rogue Economist Explores the Hidden Side of Everything|3.97
1218|The Last Assassin (John Rain  #5)|4.27
1226|Life of Pi|3.91
1230|L'Histoire de Pi|3.91
1234|Shadows and Wind: A View of Modern Vietnam|3.49
1241|A Million Little Pieces|3.65
1242|A Million Little Pieces of Feces|3.56
1243|A Million Little Lies|3.41
1246|The Leadership Challenge|4.05
1252|Lincoln on Leadership: Executive Strategies for Tough Times|4.14
1255|Leadership in Organizations|3.68
1265|Leadership|3.72
1274|Men Are from Mars  Women Are from Venus|3.55
1276|Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships|3.62
1281|Men Are from Mars  Women Are from Venus|3.55
1290|How to Succeed with Women|3.76
1295|The Clan of the Cave Bear (Earth's Children  #1)|4.05
1296|The Clan of the Cave Bear (Earth's Children  #1)|4.05
1301|Moneyball: The Art of Winning an Unfair Game|4.26
1302|Juiced Official Strategy Guide|0.00
1303|The 48 Laws of Power|4.18
1305|Gates of Fire|4.42
1307|Fire Sea (The Death Gate Cycle  #3)|4.07
1312|The Gate of Fire (Oath Of Empire Book Two)|3.58
1315|The Afghan Campaign|3.96
1317|Tides of War|3.90
1318|Last of the Amazons|3.76
1319|The War of Art: Break Through the Blocks & Win Your Inner Creative Battles|4.00
1320|Gita on the Green|3.78
1322|Blood Stripes: The Grunt's View of the War in Iraq|3.91
1326|Phaedrus and Letters VII and VIII|4.10
1327|Phaedrus|3.92
1328|Phaedrus|3.92
1334|Lysis/Phaedrus/Symposium: Plato on Homosexuality|4.47
1337|Enthusiasm and Divine Madness|4.50
1338|On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws|4.06
1342|Gorgias/Phaedrus (Agora)|4.35
1351|Statesman|3.85
1354|Gorgias|3.95
1362|The Histories|3.99
1363|The Histories|3.99
1364|The History (Great Minds)|3.99
1365|The Histories|3.99
1366|The Histories|3.99
1367|The Histories|3.99
1368|The Histories|3.99
1369|The History|3.99
1371|The Iliad|3.86
1373|Iliad|3.86
1374|The Iliad|3.86
1375|The Iliad/The Odyssey|4.04
1376|The Iliad|3.86
1377|The Iliad|3.86
1378|The Essential Iliad|3.86
1381|The Odyssey|3.76
1382|The Odyssey|3.76
1383|The Odyssey|3.76
1384|The Odyssey|3.76
1387|The Odyssey|3.76
1391|Aeneid: Selections from Books 1  2  4  6  10  12|4.35
1402|Eclogues. Georgics. Aeneid: Books 1-6|4.22
1403|City Eclogue|4.13
1405|The Eclogues and The Georgics|3.80
1408|Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas|3.94
1417|The Complete Pelican Shakespeare|4.50
1419|The Complete Works|4.50
1420|Hamlet|4.02
1423|The Compleat Works of Wllm Shkspr (abridged)|4.44
1424|The Pilgrimage: A Contemporary Quest for Ancient Wisdom|3.64
1425|The Valkyries|3.31
1426|Warrior of the Light|3.70
1427|The Zahir|3.57
1428|By the River Piedra I Sat Down and Wept|3.57
1429|The Fifth Mountain|3.62
1431|Veronika Decides to Die|3.70
1433|Hamlet|4.02
1437|Cliffs Notes on Shakespeare's Hamlet|3.69
1438|Shakespeare's Hamlet|4.02
1439|Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth|4.29
1440|History of the Peloponnesian War: Bk. 1-2|4.32
1441|On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War|3.72
1444|History of the Peloponnesian War: Bk. 5-6|4.35
1445|The Peloponnesian War|3.90
1449|The Peloponnesian War: A New Translation  Backgrounds  Interpretations|3.90
1459|History of the Peloponnesian War  Bk. 7-8|4.29
1461|Thucydides  Book 6 Commentary|4.50
1462|Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus|4.03
1463|Euripides V: Electra / The Phoenician Women / The Bacchae|4.21
1465|Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis|4.21
1466|Grief Lessons: Four Plays by Euripides|4.40
1467|Ten Plays|4.17
1468|Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7)|4.00
1470|Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen|4.31
1473|Medea and Other Plays|4.03
1474|Cyclops / Alcestis / Medea|4.23
1475|Medea|3.87
1476|The Bacchae and Other Plays|4.14
1479|Bakkhai|3.88
1480|Plays 1: Medea/The Phoenician Women/Bacchae|3.78
1486|The Trojan Women and Hippolytus|3.63
1488|The Bacchae of Euripides: A Communion Rite|3.86
1489|Orestes and Other Plays|4.10
1491|Children of Heracles / Hippolytus / Andromache / Hecuba|4.26
1494|Alcestis|3.83
1495|Suppliant Women / Electra / Heracles|4.47
1499|Medea|3.87
1504|Euripides: Medea|4.04
1506|CliffsNotes on Euripides' Medea and Electra|4.20
1509|Trojan Women / Iphigenia Among the Taurians / Ion|4.03
1510|Helen / Phoenician Women / Orestes|4.07
1511|Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy)|4.03
1515|The Complete Greek Tragedies  Volume 3: Euripides|4.43
1516|Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides)|4.02
1517|Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies)|4.10
1518|The Oresteia|4.02
1519|The Oresteia: Agamemnon  The Libation Bearers  The Eumenides|4.02
1521|Oresteia|4.02
1523|Prometheus Bound and Other Plays|4.10
1525|The Oresteia|4.02
1526|Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides|4.02
1527|The Complete Greek Tragedies  Volume 1: Aeschylus|4.10
1529|Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature)|4.03
1530|The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260)|4.02
1531|Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound|4.10
1532|The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies|4.02
1533|The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound|4.10
1536|Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4)|4.14
1537|The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone|3.97
1538|The Complete Plays|4.27
1540|The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone|3.97
1542|The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus|3.97
1546|Theban Plays|3.97
1547|The Theban Plays (Everyman's Library  #93)|3.97
1548|Electra and Other Plays|4.14
1549|Antigone; Oedipus the Kingn; Electra|3.94
1554|Oedipus Rex  (The Theban Plays  #1)|3.70
1555|The Oedipus Plays of Sophocles|3.97
1558|Oedipus Rex (Greek and Latin Classics)|3.70
1559|Oedipus the King|3.70
1560|Four Plays: The Clouds/The Birds/Lysistrata/The Frogs|4.06
1561|Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen|3.94
1562|The Complete Plays|4.21
1563|Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth|3.83
1566|Clouds/Wasps/Birds (Aristophanes 1)|3.77
1567|Lysistrata and Other Plays|3.95
1568|Acharnians|3.42
1571|Clouds|3.75
1572|Clouds/Wasps/Peace|4.07
1576|Three Plays: The Wasps / The Poet and the Women / The Frogs|3.94
1577|Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day|4.03
1579|Frogs/Assemblywomen/Wealth (Loeb Classical Library 180)|4.21
1584|Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs|2.80
1585|Aristophanes and Athens: An Introduction to the Plays|4.07
1586|Lysistrata|3.85
1590|Peace|3.60
1591|Lysistrata|3.85
1592|The Knights / Peace / The Birds / The Assembly Women / Wealth|3.69
1595|Genres in Dialogue: Plato and the Construct of Philosophy|4.33
1618|The Curious Incident of the Dog in the Night-Time|3.88
1620|The Night Gardener|3.64
1625|Twelfth Night|3.98
1627|Brokeback Mountain|3.94
1633|Getting Things Done: The Art of Stress-Free Productivity|3.99
1634|Getting Things Done When You Are Not in Charge|3.46
1642|Formas breves|4.17
1643|El último lector|4.14
1645|Money to Burn|3.76
1646|Respiración artificial|3.96
1654|Plata quemada|3.76
1658|American Government: Continuity and Change  Alternate Edition|2.83
1664|Essentials of American and Texas Government: Continuity and Change|3.50
1667|El túnel|4.05
1681|The Confessions (Works of Saint Augustine 1)|3.92
1684|The City of God|3.92
1685|The Enchiridion on Faith Hope and Love (Augustine Series 1)|4.04
1686|Augustine of Hippo: A Biography|4.27
1693|On Christian Doctrine|4.03
1698|Confessions  Books 1-13|3.92
1702|Saint Augustine|3.55
1703|Augustine: A Very Short Introduction|3.71
1707|On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1)|3.94
1709|Kitchen Confidential: Adventures in the Culinary Underbelly|4.07
1710|Confesiones de un chef|4.07
1713|The Metamorphoses of Ovid|4.05
1715|Metamorphoses|4.05
1718|Metamorphoses|4.05
1720|Ovid's Metamorphoses: Books 1-5|4.27
1721|Ovid’s Metamorphoses: Books 6-10|4.32
1722|Latin Via Ovid: A First Course|4.36
1725|The Art of Love and Other Poems|4.02
1728|The Poems of Exile: Tristia and the Black Sea Letters|4.12
1729|Metamorphoses: Volume 2  Books IX-XV|4.52
1730|Metamorphoses: Volume I  Books I-VIII|4.42
1731|Practice! Practice!: A Latin Via Ovid Workbook|4.08
1744|Tibullus: A Commentary|3.71
1750|Dionysiac Poetics and Euripides' Bacchae|4.62
1752|Antigone|3.64
1761|Antigone|3.64
1771|Object-Oriented Programming in C++|4.07
1796|The Iliad|3.86
1800|Love  Sex & Tragedy: How the Ancient World Shapes Our Lives|3.79
1801|Reading Greek Tragedy|4.12
1804|Who Needs Greek? Contests in the Cultural History of Hellenism|3.40
1805|Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture)|3.73
1814|2012: The Return of Quetzalcoatl|3.42
1815|Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism|4.06
1823|Them: Adventures with Extremists|3.95
1824|The Men Who Stare at Goats|3.61
1839|Guns  Germs and Steel: The Fates of Human Societies|4.03
1843|Caught Inside: A Surfer's Year on the California Coast|3.87
1845|Into the Wild|3.98
1846|Wild at Heart: Discovering the Secret of a Man's Soul|3.92
1848|Wild Swans: Three Daughters of China|4.26
1849|Wild Fire (John Corey  #4)|4.01
